objid ra dec u g r i z redshift
1237659330853863812 250.363725804085 36.5396012835184 14.85638 13.6452 13.04259 12.63137 12.67831 -0.0008314689
1237655471822473023 250.43166034239 36.7409901445066 23.07738 22.21402 20.34973 19.26766 18.75781 0.5746848
1237655373038354934 250.755314331021 36.5743302155237 21.8228 21.69555 20.82746 20.08346 19.55152 0.7249782
1237655373038420433 250.932643211929 36.4134463742063 24.70155 21.7567 19.83631 19.29747 18.95104 0.3429433
1237655471822406068 250.256182618831 36.6852702416003 23.52092 22.33581 20.49069 19.4768 18.85374 0.5133785
1237655471822667857 250.653534388114 36.2841517516719 19.25855 18.0672 17.33568 16.9207 16.76713 0.1632745
1237655471822668863 250.690196424353 36.3217625062285 23.42951 20.95053 19.76367 19.05112 18.47267 0.2619058
1237655471822733979 250.916305635639 36.2924167197718 26.69144 20.96809 19.26103 18.31399 17.85963 0.5368448
1237655471822799094 250.894054800788 36.0977385292173 22.00402 20.37174 18.70832 18.07452 17.71143 0.4098118
1237655472359407983 250.851126697926 36.7914433770467 21.99982 19.95081 18.84447 18.42579 18.07973 0.1690249
1237659326030873441 249.92103346907 36.7952974195648 22.62473 21.59801 20.14014 19.39768 18.94549 0.5170684
1237659326030938414 249.959643915726 36.6342559988293 21.00285 18.89849 17.72719 17.23026 16.88251 0.1744845
1237659326031266173 250.516204431345 36.0586613751279 19.76041 18.41387 17.37182 16.8539 16.5157 0.1658436
1237659326031331395 250.642843581427 35.9628455438539 22.19989 20.91339 19.69057 18.95806 18.65081 0.5195052
1237659330316927050 249.773176914115 36.4559577683416 23.95126 20.01534 18.38415 17.71523 17.43842 0.3759939
1237659330317058508 249.994210797478 36.241875602548 19.75439 18.15284 17.28811 16.78232 16.37782 0.08551119
1237659330317254968 250.461071103012 35.9387176111505 23.05082 21.80357 20.14919 19.13173 18.87888 0.5110081
1237655373038289542 250.728936562863 36.8336642053077 23.59962 21.89121 20.41969 19.45755 19.22736 0.4988263
1237655373038420344 250.909015789579 36.398214869981 23.69938 20.47272 18.73 18.08105 17.73111 0.3437282
1237655471822340461 250.145236960205 36.9294490565576 18.94855 17.72489 17.22279 16.95126 16.84336 0.06295731
1237655471822733413 250.792614843519 36.1677648214391 18.51641 17.70201 17.46195 17.34716 17.2559 0.02376683
1237659325494198742 249.959872524503 36.2225006888672 23.58034 21.53823 19.83611 19.02348 18.643 0.4949373
1237659326030873549 249.845657454629 36.6999267751569 22.2575 21.32393 20.12994 19.37905 19.05572 0.4961247
1237659326030873560 250.002472428377 36.7964470236481 24.50141 22.03187 20.2731 19.26233 18.80126 0.5061378
1237659326030873564 249.986797592128 36.7829355165288 25.79873 21.76436 20.2143 19.35072 19.05421 0.5066837
1237659326030938336 250.084856640401 36.7770943975213 20.15642 18.47755 17.66356 17.23038 17.00781 0.105994
1237659326030938355 249.959801188824 36.6759424902113 20.25526 18.21936 17.29576 16.89813 16.58265 0.1068173
1237659326030938382 250.012123169871 36.6860871962077 20.13985 18.05291 17.12302 16.71383 16.36334 0.1068266
1237659326030938650 250.016396539554 36.6458283108654 21.80927 19.45508 17.92432 17.35071 17.02643 0.2745795
1237659326030938722 250.037564635406 36.7812174133371 24.68833 22.31698 20.53648 19.58216 19.0874 0.5057412
1237659326031004076 250.143459435377 36.6023599565596 25.27386 22.52431 20.52148 19.60056 19.29234 0.5010906
1237659326031266189 250.690449645237 36.1589822845232 19.26548 17.9311 17.24776 16.82727 16.58754 0.0995865
